Match Number,Round Number,Date,Location,Home Team,Away Team,Result
156,18,18/01/2025 23:00,Decathlon Arena Pierre Mauroy Stadium,LOSC Lille,OGC Nice,
157,18,18/01/2025 23:00,Groupama Stadium,Olympique Lyonnais,Toulouse FC,
158,18,18/01/2025 23:00,Orange Vélodrome,Olympique de Marseille,RC Strasbourg Alsace,
159,18,18/01/2025 23:00,Stade de la Mosson,Montpellier Hérault SC,AS Monaco,
160,18,18/01/2025 23:00,Stade Auguste Delaune,Stade DE Reims,Havre Athletic Club,
161,18,18/01/2025 23:00,Roazhon Park,Stade Rennais FC,Stade Brestois 29,
162,18,18/01/2025 23:00,Stade Geoffroy-Guichard,AS Saint-Étienne,FC Nantes,
163,19,25/01/2025 23:00,Stade de l'Abbé-Deschamps,AJ Auxerre,AS Saint-Étienne,
164,19,25/01/2025 23:00,Stade Océane,Havre Athletic Club,Stade Brestois 29,
165,19,25/01/2025 23:00,Stade Bollaert-Delelis,RC Lens,Angers SCO,
166,19,25/01/2025 23:00,Stade Louis II,AS Monaco,Stade Rennais FC,
167,19,25/01/2025 23:00,Stade de la Beaujoire,FC Nantes,Olympique Lyonnais,
168,19,25/01/2025 23:00,Allianz Riviera,OGC Nice,Olympique de Marseille,
169,19,25/01/2025 23:00,Parc des Princes,Paris Saint-Germain,Stade DE Reims,
170,19,25/01/2025 23:00,Stade de la Meinau,RC Strasbourg Alsace,LOSC Lille,
171,19,25/01/2025 23:00,Stadium Municipal,Toulouse FC,Montpellier Hérault SC,
172,20,01/02/2025 23:00,Stade Raymond Kopa,Angers SCO,Havre Athletic Club,
173,20,01/02/2025 23:00,Stade Francis-Le Blé,Stade Brestois 29,Paris Saint-Germain,
174,20,01/02/2025 23:00,Decathlon Arena Pierre Mauroy Stadium,LOSC Lille,AS Saint-Étienne,
175,20,01/02/2025 23:00,Orange Vélodrome,Olympique de Marseille,Olympique Lyonnais,
176,20,01/02/2025 23:00,Stade Louis II,AS Monaco,AJ Auxerre,
177,20,01/02/2025 23:00,Stade de la Mosson,Montpellier Hérault SC,RC Lens,
178,20,01/02/2025 23:00,Stade Auguste Delaune,Stade DE Reims,FC Nantes,
179,20,01/02/2025 23:00,Roazhon Park,Stade Rennais FC,RC Strasbourg Alsace,
180,20,01/02/2025 23:00,Stadium Municipal,Toulouse FC,OGC Nice,
181,21,08/02/2025 23:00,Stade Raymond Kopa,Angers SCO,Olympique de Marseille,
182,21,08/02/2025 23:00,Stade de l'Abbé-Deschamps,AJ Auxerre,Toulouse FC,
183,21,08/02/2025 23:00,Decathlon Arena Pierre Mauroy Stadium,LOSC Lille,Havre Athletic Club,
184,21,08/02/2025 23:00,Groupama Stadium,Olympique Lyonnais,Stade DE Reims,
185,21,08/02/2025 23:00,Stade de la Beaujoire,FC Nantes,Stade Brestois 29,
186,21,08/02/2025 23:00,Allianz Riviera,OGC Nice,RC Lens,
187,21,08/02/2025 23:00,Parc des Princes,Paris Saint-Germain,AS Monaco,
188,21,08/02/2025 23:00,Stade Geoffroy-Guichard,AS Saint-Étienne,Stade Rennais FC,
189,21,08/02/2025 23:00,Stade de la Meinau,RC Strasbourg Alsace,Montpellier Hérault SC,
190,22,15/02/2025 23:00,Stade Francis-Le Blé,Stade Brestois 29,AJ Auxerre,
191,22,15/02/2025 23:00,Stade Océane,Havre Athletic Club,OGC Nice,
192,22,15/02/2025 23:00,Stade Bollaert-Delelis,RC Lens,RC Strasbourg Alsace,
193,22,15/02/2025 23:00,Orange Vélodrome,Olympique de Marseille,AS Saint-Étienne,
194,22,15/02/2025 23:00,Stade Louis II,AS Monaco,FC Nantes,
195,22,15/02/2025 23:00,Stade de la Mosson,Montpellier Hérault SC,Olympique Lyonnais,
196,22,15/02/2025 23:00,Stade Auguste Delaune,Stade DE Reims,Angers SCO,
197,22,15/02/2025 23:00,Roazhon Park,Stade Rennais FC,LOSC Lille,
198,22,15/02/2025 23:00,Stadium Municipal,Toulouse FC,Paris Saint-Germain,
199,23,22/02/2025 23:00,Stade de l'Abbé-Deschamps,AJ Auxerre,Olympique de Marseille,
200,23,22/02/2025 23:00,Stade Océane,Havre Athletic Club,Toulouse FC,
201,23,22/02/2025 23:00,Decathlon Arena Pierre Mauroy Stadium,LOSC Lille,AS Monaco,
202,23,22/02/2025 23:00,Groupama Stadium,Olympique Lyonnais,Paris Saint-Germain,
203,23,22/02/2025 23:00,Stade de la Beaujoire,FC Nantes,RC Lens,
204,23,22/02/2025 23:00,Allianz Riviera,OGC Nice,Montpellier Hérault SC,
205,23,22/02/2025 23:00,Roazhon Park,Stade Rennais FC,Stade DE Reims,
206,23,22/02/2025 23:00,Stade Geoffroy-Guichard,AS Saint-Étienne,Angers SCO,
207,23,22/02/2025 23:00,Stade de la Meinau,RC Strasbourg Alsace,Stade Brestois 29,
208,24,01/03/2025 23:00,Stade Raymond Kopa,Angers SCO,Toulouse FC,
209,24,01/03/2025 23:00,Stade de l'Abbé-Deschamps,AJ Auxerre,RC Strasbourg Alsace,
210,24,01/03/2025 23:00,Stade Bollaert-Delelis,RC Lens,Havre Athletic Club,
211,24,01/03/2025 23:00,Groupama Stadium,Olympique Lyonnais,Stade Brestois 29,
212,24,01/03/2025 23:00,Orange Vélodrome,Olympique de Marseille,FC Nantes,
213,24,01/03/2025 23:00,Stade Louis II,AS Monaco,Stade DE Reims,
214,24,01/03/2025 23:00,Stade de la Mosson,Montpellier Hérault SC,Stade Rennais FC,
215,24,01/03/2025 23:00,Parc des Princes,Paris Saint-Germain,LOSC Lille,
216,24,01/03/2025 23:00,Stade Geoffroy-Guichard,AS Saint-Étienne,OGC Nice,
217,25,08/03/2025 23:00,Stade Francis-Le Blé,Stade Brestois 29,Angers SCO,
218,25,08/03/2025 23:00,Stade Océane,Havre Athletic Club,AS Saint-Étienne,
219,25,08/03/2025 23:00,Decathlon Arena Pierre Mauroy Stadium,LOSC Lille,Montpellier Hérault SC,
220,25,08/03/2025 23:00,Orange Vélodrome,Olympique de Marseille,RC Lens,
221,25,08/03/2025 23:00,Stade de la Beaujoire,FC Nantes,RC Strasbourg Alsace,
222,25,08/03/2025 23:00,Allianz Riviera,OGC Nice,Olympique Lyonnais,
223,25,08/03/2025 23:00,Stade Auguste Delaune,Stade DE Reims,AJ Auxerre,
224,25,08/03/2025 23:00,Roazhon Park,Stade Rennais FC,Paris Saint-Germain,
225,25,08/03/2025 23:00,Stadium Municipal,Toulouse FC,AS Monaco,
